time_h,D,E,C,H_e,M_t
2.08,1.1971978441528903,0.7897745410216578,0.42740316227034225,0.8381554056050455,0.16942872402215162
2.09,1.1964660015502515,0.7544852989228398,0.42975850795731146,0.8294286834807567,0.16982047887796145
2.1,1.195652485450869,0.8091672762332527,0.4202291107085666,0.8203901403004026,0.17022035523663465
2.11,1.1947582427304446,0.7857156290897521,0.39912420336082666,0.8118721338118104,0.17061877522482768
2.12,1.193784223337049,0.7624685582822571,0.42692847514830967,0.8027260951007866,0.17102462789878936
2.13,1.1927313799629247,0.772311904970799,0.4189063375275874,0.7942528476009514,0.17143450523140563
2.14,1.1916006677232671,0.7738012174531924,0.4246289238426861,0.7855021261755251,0.17185021265166162
2.15,1.1903930438419084,0.7698987248533784,0.46423425037178384,0.7770063215602796,0.17227726975552457
2.16,1.189109467343844,0.7876891944858601,0.4225209286938984,0.7680088035867445,0.17270347659443874
2.17,1.1877508987545278,0.8199668861596612,0.41812827162937183,0.7593659601860856,0.1731368571310185
2.18,1.1863182998058726,0.8033364398517078,0.44382712775810523,0.7506940521603747,0.17357842700998058
2.19,1.1848126331488813,0.7876603113815787,0.44841448935084094,0.7416453123167535,0.17402434238349376
2.2,1.1832348620728397,0.8253983213150865,0.4381956923834184,0.7328710168302853,0.17447742363581698
2.21,1.1815859502310015,0.7827746940583519,0.4352980159622061,0.7244577069150182,0.174930177343028
2.22,1.1798668613726864,0.7846069578556828,0.45338072048504313,0.7161746104425935,0.17539155082944613
2.23,1.1780785590817273,0.7766840998789466,0.4321013231063329,0.7082883511072625,0.1758524891702824
2.24,1.1762220065211857,0.7885693990662632,0.4271817650086834,0.7001848842770592,0.17631855788661185
2.25,1.1742981661842624,0.8037922067435631,0.4594637608601595,0.6917584203246661,0.17679812599951455
2.2600000000000002,1.172307999651334,0.7613129425232297,0.40033514982043195,0.6829178750201877,0.17726629773191926
2.27,1.1702524673530315,0.7762661665367938,0.42125375996812825,0.674650417226662,0.1777452391641123
2.2800000000000002,1.168132528339294,0.8345986488688532,0.4343886716700038,0.6664392761971031,0.17823871066122754
2.29,1.165949140054317,0.769154904057216,0.42677300508106164,0.6585480672588775,0.17872792500560597
2.3000000000000003,1.1637032581173172,0.7956374856869901,0.40791471930193635,0.6510839025342795,0.17922081556373673
2.31,1.1613958361090464,0.7850425193035021,0.427689514142391,0.6432156486780453,0.1797217151139654
2.32,1.1590278253639656,0.7879080005999812,0.45415816122161773,0.6356423479150517,0.18023356869009569
2.33,1.1566001747680161,0.782882255736383,0.4065813944386252,0.6280126169153186,0.18073940881950795
2.34,1.1541138305618994,0.7729110352120245,0.3671269687440774,0.6197950881924356,0.18124103201113892
2.35,1.151569736149797,0.7895521091326972,0.4418778649289437,0.6121666240573972,0.18176577995855786
2.36,1.148968831913449,0.7882698836892299,0.4382156961273328,0.603890898661897,0.18229505661650078
2.37,1.1463120550315198,0.8027791215704532,0.42286033852435606,0.5965474176844585,0.18282754321480557
2.38,1.1436003393041676,0.8321827208368284,0.40882910022813745,0.5885857335280437,0.18336562899723602
2.39,1.1408346149827486,0.7764434201306247,0.4336466993436631,0.5804151540694591,0.18390825491922014
2.4,1.138015808604573,0.8138994853825985,0.4316877424989025,0.5723688551862698,0.18446075717513677
2.41,1.135144842832644,0.8141517545943994,0.4678331206616608,0.5646049108718064,0.1850276161655579
2.42,1.1322226363002954,0.7851682060741514,0.434631441713461,0.557173041854608,0.18558771984493833
2.43,1.1292501034606626,0.756549458275255,0.44103301201055006,0.5500508097707959,0.1861505497862104
2.44,1.1262281544408999,0.7819623470535366,0.445580946029878,0.5424093633318557,0.18672332591749843
2.45,1.123157694901079,0.7476511903751627,0.45352265293240374,0.5351078222835988,0.187298469982522
2.46,1.1200396258976921,0.7733154467018882,0.45279272518628727,0.5281407132035218,0.1878821043045104
2.47,1.1168748437516787,0.7593027675340801,0.4585894945294339,0.5211420772945015,0.18847025192081493
2.48,1.1136642399209098,0.7902502331909476,0.45345875307465133,0.5141164512564333,0.18906680298176973
2.49,1.110408700877055,0.777011335935202,0.46776505288300513,0.506919880912365,0.18967037144894508
2.5,1.1071091079867532,0.7331727041381952,0.4720727250394068,0.499779363007827,0.19027371883187164
2.5100000000000002,1.103766337397024,0.7811732845059326,0.4615195728361706,0.4925396628737809,0.19088721831188118
2.52,1.1003812599248373,0.7893447050204737,0.44089304531934226,0.4855143278599836,0.1915019869988893
2.5300000000000002,1.0969547409507794,0.728517813789703,0.4605044162446275,0.4786473178326329,0.19211789929257975
2.54,1.0934876403167362,0.785693453124919,0.44762835624118263,0.47147172244314645,0.19274469582099224
2.5500000000000003,1.0899808122275245,0.7236735210462918,0.5020726541795842,0.4649684768620374,0.19338047058414712
2.56,1.0864351051564094,0.7540688191278154,0.43101783394065357,0.45833279031921476,0.19400859148159802
2.57,1.0828513617544246,0.764060505861501,0.48982198480238237,0.45185776269099875,0.19465848567039776
2.58,1.0792304187634376,0.7684441081115277,0.48408782180866583,0.4450629671757304,0.19531306299338022
2.59,1.0755731069328853,0.7609363533537215,0.462272372136196,0.43870655833135125,0.1959657756983108
2.6,1.0718802509401153,0.7885788068414301,0.4944389399299119,0.43180676531751033,0.1966374179534415
2.61,1.068152669314264,0.7781547546070527,0.5016250270155104,0.4251753376003066,0.19731470156098327
2.62,1.0643911743636039,0.762814981679991,0.4749154870982797,0.41768061631085374,0.19798822892876436
2.63,1.060596572106297,0.7708800140706388,0.5183673652299917,0.41153135435522126,0.19868027051277592
2.64,1.0567696622044875,0.736439773138123,0.490816600120735,0.4052810922586274,0.19936381820273077
2.65,1.0529112379016647,0.7561702640424962,0.4366399527563973,0.39918562192704066,0.2000412708172933
2.66,1.0490220859632389,0.7492056580845139,0.4510294760746397,0.3925758723393492,0.2007270101436512
2.67,1.0451029866202652,0.7830689217964464,0.4853256909445171,0.386325573188074,0.20143340639550716
2.68,1.0411547135162453,0.7489185702065867,0.473737645423123,0.3799708170354279,0.20213596629845695
2.69,1.0371780336569554,0.7663133557385845,0.4901361519740868,0.37370102251495746,0.2028516396502875
2.7,1.0331737073632303,0.7432477274436985,0.474961742115451,0.36695458166515493,0.20356476502640808
2.71,1.0291424882266502,0.7232243006061704,0.46735061179853643,0.36114556891893534,0.20427734748419157
2.72,1.025085123068059,0.759237362032485,0.49671054381545127,0.35468565227704246,0.2050103117123989
2.73,1.0210023518988702,0.7582663762729533,0.49745660482379,0.3476322170085383,0.20574959419858316
2.74,1.0168949078850846,0.7411932147897093,0.4940294374070622,0.34141709218476346,0.20649020738238444
2.75,1.012763517313977,0.69431910176525,0.4842813309732129,0.33559958802236595,0.2072245651787688
2.7600000000000002,1.0086088995633806,0.7244712032624154,0.5145359477077194,0.3296781789156193,0.2079783237606399
2.77,1.004431767073526,0.7688967108874855,0.49624220164882016,0.3243353035554451,0.2087404043511616
2.7800000000000002,1.0002328253213644,0.7574168539961608,0.4960699070905649,0.31866194729174974,0.20950540385806773
2.79,0.9960127727973334,0.7553480711390107,0.5610416042516511,0.3128019975369887,0.21029507996375937
